Archaeocidaris  0101000000 0-0-000010 0000-00000 000011 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 
Hemicidaris  0001000000 0-0-002100 0000-00000 000011 00002----- 012000-100 5150000000 00000000a1 ???0-?- 
Pseudocidaris  0001000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150000000 00000000a1 ???0-?- 
Pseudodiadema  0001000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150010000 00000000a1 ???0-?- 
Glyphopneustes  0001000000 0-0-002100 0001-00000 0000?? 00002----- 012000-100 5150000000 00110000a1 ???0-?- 
Echinus 0001000000 0-0-002100 0000-00000 000000 00002----- 012010-100 5150000000 0000000011 2010-0- 
Echinometra  2001000000 0-0-002100 0000-00000 000011 00002----- 012010-100 5150010000 00000000a1 0010-0- 
Parasalenia  2001000000 0-0-002100 0000-00000 000000 00002----- 012010-100 5150000000 0000000001 0110-0- 
Parechinus  0001000000 0-0-002100 0000-00000 000000 0000101110 012010-100 5150010000 0010000011 2010-0- 
Strongylocent  0001000000 0-0-002100 0000-00000 000011 0000101110 012010-100 5150010000 0000000011 2010-0- 
Toxopneustes  0001000000 0-0-002100 0000-00000 000000 0000101110 012010-100 5150010000 0000000001 2010-0- 
Trigonocidaris  0001000000 0-0-002100 0002-10000 000000 00002----- 012000-100 5150000000 0020000011 2010-?- 
Temnopleurus  0001000000 0-0-002100 0010200000 000000 00002----- 012000-100 5150000000 0010000011 2010-0- 
Zeuglopleurus  0001000000 0-0-002100 0012210000 0000?? 0000101110 012000-110 5150000000 0000000022 20?0-0- 
Glyphocyphus  0001000000 0-0-002100 0010210000 0000?? 0000000000 012000-100 5150000000 00001000a1 ???0-0- 
Conulus   1011000000 0-0-002100 0000-00100 0000?? 0210------ 0B4100-100 4140010000 0000000001 ???3703 
Galerites  0011000000 0-0-002100 0000-01100 000011 0210------ 023100-100 41400A0000 0000000001 ???3703 
Echinoneus  1001000000 0-0-002100 0000-01100 000011 0210------ 023100-000 41400A0000 0000000001 D014207 
Neoglobator  0001000000 0-0-002100 0000-0??00 0000?? 0210------ 023100-100 4140000000 0000000001 ???3703  
Anorthopygus  0001000000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4140010000 0000000001 1011707 
Coenholectypus  0001000000 0-0-002100 0000-00000 0000?? 0210------ 002100-000 5150010000 0000000001 ???3206 
Discoides  0001000000 0-0-002100 0000-00001 000000 0210------ 002100-000 5140010000 0000000001 1014206 
Holectypus  0001000000 0-0-002100 0000-00000 000011 0210------ 002100-000 5140010000 0000000001 ???4206 
Pygaster  0001000000 0-0-002100 0000-00000 0000?? 0000-01110 011A10-010 4140010000 0000000002 ???1909 
Desorella  1001000000 0-0-002100 0000-00000 0000?? 0220------ 0110011010 4140?00000 0000000001 ???29?7 
Collyritis  1001000000 0-0-002100 0000-00000 000011 0221------ 224000-000 4140000000 0000100001 ???29?3 
Disaster  1001000000 0-0-002100 0000-00000 000011 1111-01110 021100-100 4140010000 0000000001 ???29?6 
