Archaeocidaris  0101000000 0-0-000010 0000-00000 000011 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 
Pseudholaster  100-0--00- 0000000000 0010000100 21000-00?1 000001?110 1011000000 010------- -1 
Hemipneustes  100-0--00- 0000000000 0010000100 21000-00?1 000001?110 1010000000 310------- -1 
Cardiaster  100-0--00- 0000000000 0010000100 01000-00?1 000000?111 1011000000 100------- -1 
Cardiotaxis  100-0--00- 0000000000 0010000100 01000-00?1 000000?111 1011000000 100------- -1 
Holaster  100-0--00- 0000000000 0010000100 21000-00?1 000001?110 1010000000 100------- -1 
Echinocorys  100-0--00- 0000000000 0010000100 21000-00?1 000001?000 1010000000 000------- -1 
Stenonaster  100-0--00- 0000000000 0010000100 21000-00?1 000001?000 10-0000000 000------- -1 
Stegaster  100-0--00- 0000000000 0010000100 01000-00?? 000000?111 10-1000000 000------- -1 
Calymne   100-0--00- 0000000000 0030100100 00000-0011 000000-001 00--0-000- --0------- -1 
Corystus  100-0--00- 0000000000 0010000100 21000-0011 001000-100 1010000000 000------- -1 
Plexechinus  100-0--00- 0000000000 0030100100 00000-0011 000000-000 00--1-000- --0------- -0 
Pourtalesia  100-0--00- 0000000000 0030100100 00000-0001 000000-011 00--1-000- --0------- -0 
Urechinus  100-0--00- 0000000000 0000100100 00000-0011 000000-000 00--0-000- --0------- -0 
Aeropsis  100-0--00- 0000000000 0030100100 01000-0011 000000-210 001-0-000- 000------- -1  
Coraster  100-0--00- 0000000000 0030000100 01000-00?1 010000?110 001-0-000- 000------- -1 
Paleopneustes  100-0--00- 0000000000 0010100100 21000-0011 000001-100 1000010001 000------- -1 
Micraster  100-0--00- 0000000000 0010000100 21000-00?1 010001?b20 1000000101 100------- -1 
Plesiaster  100-0--00- 0000000000 0010000100 21000-00?1 010001?b20 10000?0101 100------- -1 
Cyclaster  100-0--00- 0000000000 0010000100 21000-0011 010001-220 1000000101 100------- -1 
Palaeostoma  100-0--00- 0000000000 0010100100 01000-0011 010000-200 1001000101 100------- -1 
Pericosmus  100-0--00- 0000000000 0010100100 21000-0011 010001-C20 1100010101 000------- -1 
Macropneustes  100-0--00- 0000000000 0010100100 21000-00?1 011001?110 1100000101 000------- -1 
Unifascia  100-0--00- 0000000000 0010100100 21000-00?1 010001?110 1000100101 000------- -1 
Schizaster  100-0--00- 0000000000 0010100100 21000-0011 010001-220 1001000101 100------- -1 
Hemiaster  100-0--00- 0000000000 0010000100 21000-0011 010001-220 1001000101 100------- -1  
Toxaster  100-0--00- 0000000000 0010000100 21000-00?1 000001?010 1001000000 100------- -1  
Brisaster  100-0--00- 0000000000 0010100100 21000-0011 010001-220 1101000101 100------- -1 
Somaliaster  100-0--00- 0000000000 0010000100 01000-00?1 000001?b10 1000000001 100------- -1 
Brissopsis  100-0--00- 0000000000 0010100100 21000-0011 011001-220 1000010101 100------- -1 
Antillaster  100-0--00- 0000000000 0010100100 21000-00?1 011001?100 1012110001 000------- -1 
Asterostoma  100-0--00- 0000000000 0010100100 01000-00?1 000003?102 1012100001 000------- -1 
Eupatagus  100-0--00- 0000000000 0010100100 21000-0011 011001-100 1110010001 100------- -1 
Megapneustes  100-0--00- 0000000000 0010100100 21000-00?1 01100??100 1000000001 000------- -1 
Ovulaster   100-0--00- 0000000000 0030000100 01000-0011 0?0001?110 00100-000- 000------- -0 
Palaeotrophus  100-0--00- 0000001000 0030100100 01000-0011 011001-100 00-?0-000- -00------- -1 
Periaster  100-0--00- 0000000000 0010000100 21000-00?1 0?0000?020 1001000101 100------- -1 
Breynia   100-0--00- 0000000000 0010100100 21000-0011 011001-110 1210010001 200------- -1 
Brissus   100-0--00- 0000000000 0010100100 21000-0011 011001-100 1000110101 000------- -1 
Echinocardium  100-0--00- 0000000000 0010100100 21000-0011 011011-310 1210000101 200------- -1 
Eurypatagus  100-0--00- 0000000000 0010100100 21000-0011 011002-100 1002100001 100------- -1 
Lovenia   100-0--00- 0000000000 0010100100 21000-0011 011011-110 1210000101 200------- -1 
Maretia   100-0--00- 0000000000 0010100100 21000-0011 011002-100 1112010001 100------- -1 
Prenaster  100-0--00- 0000000000 0010100100 21000-00?1 010001-100 1000100101 000------- -1 
Spatangus  100-0--00- 0000000000 0010100100 21000-0011 011001-110 1110010101 100------- -1 
Carnarechinus  100-0--00- 0000000000 0030100100 00000-00?1 0??000?000 00--0-00?- --0------- -? 
Enichaster  100-0--00- 0000?00?00 0010?00?0? ???00-00?? ???????100 1000000000 100------- -? 
Galeropygus  110-0-131? 0000000000 0000000012 10000-0000 ?00003?000 1010000000 000------- -0 
Clypeus   110-0-331? 0000000000 0010000012 10000-0000 ?00003?000 1010000000 010------- -0 
Nucleolites  140-0-331? 0000100000 0010000002 10000-0000 ?00003?000 1010000000 000------- -0 
Apatopygus  140-0-331? 0000000000 0010100002 11000-0001 100003?000 1002000001 000------- -0 
Pygaulus  140-0-031? 0000000000 0010000003 11000-0001 ?00002?000 1010000000 000------- -0 
Archiacia  140-0-331? 0000?00??0 0010000003 21000-00?? ?00003?111 1110000001 000------- -0 
Claviaster  140-0-331? 0000?00??0 0010000003 21000-00?? ?00003?111 1110000001 000------- -0 
Cassidulus  140-0-0-0? 0000100000 0010100001 21000-0001 100101?000 1012000001 000------- -0 
Faujasia  140-0-331? 0000100000 0010100003 21000-0001 ?00102?000 1110000001 000------- -0 
Stigmatopygus  140-0-3?1? 0000100000 0010100003 21000-0001 ?00102?000 1110401001 000------- -0 
Echinolampas  140-0-331? 0000100000 0010100003 21000-0001 1001031000 1A10001001 000------- -0 
Clypeolampas  140-0-343? 1000100000 0010100003 21000-000? ?00103?000 1010000001 010------- -0 
Neolampas  140-0-331? 0000100000 0030100003 21000-0001 0000010000 00--0-000- -00------- -0 
Pliolampas  140-0-331? 0000100000 0010100003 21000-000? ?000010000 1000000001 000------- -0 
Plesiolampas  140-0-131? 0000000000 0010100011 00000-000? ?00102?000 1010000001 000------- -0 
Oligopygus  110-0-143? 000-100100 0110101011 00010-0000 10010-?000 1010000001 000------- -0 
Haimea   110-0-121? 000-100100 0110100011 00010-0000 10010-?000 1010000001 000------- -0 
Conoclypus  140-0-121? 0000100100 0110100011 00000-0000 10010-?000 1010000001 000------- -0 
Oligopygus  110-0-143? 000-100100 0110101011 00010-0000 10010-?000 1010000001 000------- -0 
Haimea   110-0-121? 000-100100 0110100011 00010-0000 10010-?000 1010000001 000------- -0 
Conoclypus  140-0-121? 0000100100 0110100011 00000-0000 10010-?000 1010000001 000------- -0 
Clypeaster  130-00121? 0000020100 001010---- 0001110000 00000-2000 1110010001 0010---0-0 –0 
Ammotrophus  130-00121? 0000020110 001010---- 0001100000 00010-0000 1010000001 0010---0-1 –0 
Arachnoides  130-00121? 0000020110 001010---- 0001100000 00010-0000 1010000001 0010---0-1 –0 
Fossulaster  100-0--00- 0000020101 001010---- 0001?10000 00010-?000 10100000-1 000------- -0 
Scutellinoides  100-0--00- 0000020101 000010---- 0001110-00 00000-?000 0---0-000- -00------- -0 
Echinocyamus  100-0--00- 0000020000 001010---- 0001111000 00010-0000 1000000011 000------- -0 
Fibularia  100-0--00- 0000010000 001010---- 0001111100 00010-0000 1000000011 000------- -0 
Laganum   100-0--00- 0000020000 001010---- 0001111000 00010-0000 1110010011 0110---0-- -0 
Neolaganum  130-001FC? 0000020110 001010---- 0001111000 00010-?000 1110010001 0110---0-- -0 
Rotula   100-0--00- 0000010100 001110---- 0001111000 00010-1000 1010100010 011120-000 –0 
Scutellina  100-0--00- 0000020000 001010---- 0001020000 00010-?000 1010000010 000------- -0 
Abertella  100-0--00- 0000020110 101?10---- 0001?1?000 000?0-?000 1100010001 0111122000 00 
Astriclypeus  100-0--00- 0000000110 101010---- 0001011000 00010-4000 1100010001 0111121000 00 
Dendraster  100-0--00- 0000010100 101110---- 0001111000 00010-4000 1111310001 0111122100 10 
Echinarachnius  100-0--00- 0000010100 101010---- 0001111000 00010-4000 1110000000 00110120-0 00 
Eoscutella  100-0--00- 0000020100 ?01?10---- 0001?1?000 000?0-?000 11000100?1 01111???00 ?0 
Mellita   100-0--00- 0000010100 101010---- 0001011000 00010-4000 1102010001 0111122000 00 
Monophoraster  100-0--00- 0000020100 101010---- 000101?000 00010-?000 1100010001 0111122000 00 
Protoscutella  100-0--00- 0000010100 101010---- 000101?000 00010-?000 1110000001 0010---0-0 –0 
Scutaster  100-0--00- 0000020000 ?01?10---- 0001?1?000 000?0-?000 11100100?1 0?1110-000 –0 
Scutella  100-0--00- 0000010110 101010---- 0001?11000 000?0-?000 1110010001 011120-000 –0 
Taiwanaster  100-0--00- 0000010010 101010---- 0001?1?000 00010-4000 1000000001 000------- -0 
Archaeocidaris  010000---- 0000—00000 20??0----0 -00--00-11 0011000203 001000--00 0030000 00000000-0 110?0-0000 00  
Tiarechinus  200000---- 00--0-000- 10??0----0 0?0-120-11 0000-00003 100000--00 0030000 00000000-0 ?????????? ??  
Triadotiaris  110000---- 0000--0000 20??0----0 -00--00-11 0011100223 000000--00 0030000 00000000-0 1?0?220000 00  
Serpianotiaris  110000---- 0000—00000 20??0----0 -00--00-11 0000001110 000-000000 0002?00 00000000-0 1?0?200000 0? 
Polycidaris  110000---- 0000--0000 20??0----0 -00--00-11 0010-00223 000000--00 0030000 00000000-0 ????2?0000 00  
Diplocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011000223 000000--00 0030000 00000000-0 ????210000 00  
Rhabdocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011000223 000000--00 0030000 00000000-0 ????210000 00  
Histocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011100223 000000--00 0030000 00000000-0 1101210000 00  
Poriocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011100223 000000--00 0030000 00000000-0 11012?0000 00  
Paurocidaris  110000---- 0000--0000 10??0----0 -00--00-11 0011000223 010000--00 0030000 00000000-0 ????0-0000 00  
Anisocidaridae  110000---- 0000--0000 20??0----0 -00--00-11 0011000223 000000--00 0030000 00000000-0 ?????????? ??  
Stylocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011001203 000000--00 0030000 00000000-0 1100210000 00 
Cidaris 110000---- 0000--0000 20??0----0 -00--00-11 0011001203 000000--00 0030000 00000000-0 1100210000 00  
Ctenocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0010-01203 000000--00 0030000 00000000-0 1100210000 00  
Goniocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011001203 000000--00 0030000 00000000-0 1100210000 00  
Phyllacanthus  110000---- 0000--0000 20??0----0 -00--00-11 0011001203 000000--00 0030000 00000000-0 1100210000 00  
Tylocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011011003 110000--00 0030000 00000000-0 1000210000 00  
Roseicidaris  110000---- 0000--0000 10??0----0 -00--00-11 0011011103 110000--00 0030000 00000000-0 ????2?0000 00  
Stereocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011011203 000000--00 0030000 00000000-0 1100210000 00  
Typocidaris  110000---- 0000--0000 10??0----0 -00--00-11 0011011203 000000--00 0030000 00000000-0 ????2?0000 00  
Eotiaris  110000---- 0000--0000 20??0----0 -00--00-11 001100022? 000000--00 00?000? 00000000-0 ????200??? 00  
Pelanodiadema  110000---- 0000--0000 20??0----0 -00--00-11 0100-00202 000000—-00 0020000 0000000110 1000?????0 00 
Araeosoma  110000---- 0000--0000 20??0----0 -10--00-10 0000-00202 000000--00 0020000 00000000-0 1000120210 00  
Hygrosoma 110000---- 0000--0000 20??0----0 -00--00-10 1000-00201 000000--00 0020000 00000000-0 1000??0??0 00  
Kamptosoma  110000---- 0000--0000 20??0----0 -?0--00-11 0000-00223 000000--00 0010000 00000000-0 20000-02?0 00 
Paraphormosoma  110000---- 0000--0000 20??0----0 -00--00-10 1000-00201 000000--00 0020000 00000000-0 1000120210 00  
Phormosoma  110000---- 0000--0000 20??0----0 -?0--00-10 1000-00201 000000--00 0020000 00000000-0 1000220210 00  
Sperosoma  110000---- 0000--0000 20??0----0 -00--00-10 0000-00201 000000--00 0020000 00000000-0 1000??0??0 00  
Aspidodiadema  110000---- 0000--0000 20??0----0 -00--00-11 0000-00221 000000--00 0020000 0000000100 20000-0200 00 
Diadema   110000---- 0000--0000 20??0----0 -00--00-10 1000-00222 000000--00 0020000 0000000110 2000220210 00  
Heterodiadema  110000---- 0000--0000 20??0----0 -10--00-11 0000-01221 000000--00 0020000 0000000110 ?????????? ??  
Micropyga  110000---- 0000--0000 20??0----0 -10--00-10 1000-00201 000000--00 0020000 0000000120 20000-0200 00  
Caenopedina  110000---- 0000--0000 20??0----0 -00--00-11 0000-00203 000000--00 0020000 0000000100 20000-0200 00  
Eodiadema  110000---- 0000--0000 20??0----0 -00--00-11 0010-01223 000000--00 0020000 0000000100 ?????????? 00  
Orthopsis  110000---- 0000--0000 20??0----0 -00--00-11 0100-10201 000000--00 0020000 0000000100 ????0-0210 00  
Acrosalenia  110000---- 0000--0000 20??0----0 -10--00-11 0010-00223 000000--00 0020000 0000000110 20000-0210 00  
Goniophorus  110000---- 0000--0000 20??0----0 -00--00-11 0011000023 000000--00 0030000 0000000100 ?????????? ??  
Hyposalenia  110000---- 0000--0000 10??0----0 -00--00-11 0010-00023 000000--00 0030000 0000000100 ????0-0200 00  
Pseudosalenia  110000---- 0000--0000 10??0----0 -00--00-11 0010-00223 000000--00 0030000 0000000100 ?????????? ??  
Holosalenini  110000---- 0000--0000 20??0----0 -00--00-11 0011000023 000000--00 0030000 0000000100 ?????????? ??  
Salenia   110000---- 0000--0000 20??0----0 -00--00-11 0010-00023 000000--00 0030000 0000000100 20000-0200 00  
Salenocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011100023 000000--00 0030000 0000000100 20000-0200 00  
Emiratia  110000---- 0000--0000 20??0----0 -10--00-10 1000-00221 000000--00 0020000 0000000110 ?????????? ??  
Gauthieria  110000---- 0000--0000 20??0----0 -10--00-11 0000-00011 001000--00 0020000 0000000100 ????120200 00  
Polydiadema  110000---- 0000--0000 20??0----0 -10--00-11 0000-00221 000000--00 0020000 0000000120 ????1?0210 00  
Diplopodia  110000---- 0000--0000 20??0----0 -10--00-11 0100-00221 000000--00 0020000 0000000110 ?????????? ??  
Phymosoma  110000---- 0000--0000 20??0----0 -10--00-11 0100-00011 000000--00 0020000 0000000100 2000120200 00  
Acropeltis  110000---- 0000--0000 10??0----0 -00--00-11 0000-00001 100000--00 0020000 0000000100 ?????????? ??  
Glypticus  110000---- 0000--0000 10??0----0 -00--00-11 0000-00002 100000--00 0020000 0000000100 ?????????? ??  
Arbacia   1000000000 0000020000 20000----0 2A0-100-10 1000-00001 100000--00 0020000 0000000101 20000-0200 00  
Coelopleurus  1000000000 0000020000 20000----0 210-100-11 0000-00001 000000--00 0020000 0000000101 20000-0210 00  
Glyptocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0100-00021 000000--00 0020000 0000000100 2000??0210 00  
Stomechinus  110000---- 0000--0000 20??0----0 -10--00-11 0100-00001 100000--00 0020000 0000000110 ????12021? ??  
Stomopneustes  110000---- 0000--0000 20??0----0 -00--00-11 0100-00001 000000--00 0020000 0000000110 20000-0210 00  
Hemicidaris  110000---- 0000--0000 20??0----0 -00--00-11 0011100223 000000--00 0020000 0000000110 ????0-0200 00  
Pseudocidaris  110000---- 0000--0000 10??0----0 -00--00-11 0011000213 000000--00 0020000 0000000100 ?????????? ??  
Pseudodiadema  110000---- 0000--0000 20??0----0 -00--00-11 0000-00221 010000--00 0020000 0000000110 ????120210 00  
Glyphopneustes  110000---- 0000--0000 20??0----0 -00--00-11 0000-00002 000000--00 0020000 0000000100 ?????????? ??  
Echinus 110000---- 0000--0000 20??0----0 -00--00-1A 0A00-10001 100000--00 0020000 0000000100 2000120210 00 
Echinometra  110000---- 0000--0000 20??0----0 -00--00-11 0100-00002 100000--00 0020000 0000000100 2000120210 00  
Parasalenia  110000---- 0000--0000 20??0----0 -00--00-11 0000-00001 100000--00 0020000 0000000100 2000120210 00  
Parechinus  110000---- 0000--0000 20??0----0 -00--00-11 0100-10001 100000--00 0020000 0000000100 2000220210 00  
Strongylocent  110000---- 0000--0000 20??0----0 -00--00-11 0100-10002 100000--00 0020000 0000000100 2000120210 00  
Toxopneustes  110000---- 0000--0000 20??0----0 -00--00-11 0100-10001 100000--00 0020000 0000000120 2000120210 00  
Trigonocidaris  110000---- 0000--0000 20??0----0 -00--00-11 0000-10011 001000--00 0020000 0000000100 2000??0200 00  
Temnopleurus  110000---- 0000--0000 20??0----0 -00--00-11 0100-10011 000000--00 0020000 0000000100 2000220210 00  
Zeuglopleurus  110000---- 0000--0000 20??0----0 -00--00-11 0000-10011 001000--00 0020000 0000000100 ????220200 00  
Glyphocyphus  110000---- 0000--0000 20??0----0 -00--00-11 0000-10211 001000--00 0020000 0000000100 ????220200 00  
Conulus   1000000000 0000000000 20??0000?0 200-101000 0000-10221 -00000--10 0020000 01000000-0 00000-0000 1? 
Galerites  1000000000 0000000000 20??000020 200-101100 0000-10221 -00000--10 0020000 01000000-0 00?00-0000 1? 
Echinoneus  1000000000 0001000000 20000000F0 200-101100 0000-10001 -00000--00 0020000 02200000-0 00000-0000 00  
Neoglobator  1??000???? 0000??0000 20??0????0 ?00-?01000 0000-10221 -00000--10 0020000 01000000-0 00?00-???? ??  
Anorthopygus  11?000---- 0000--0000 20??0----0 -00--01100 0000-10221 -00000--10 0020000 0200000100 ????0-0c00 0?  
Coenholectypus  11?000---- 0000--0000 20010----0 -00--01010 1000-00221 -00100--10 0020000 0200000110 ????0-0200 0?  
Discoides  110000---- 0000--0000 20??0----0 -00--00010 1000-00221 -00000--10 0020000 0200000100 ????120c00 0? 
Holectypus  110000---- 0000--0000 20?00----0 -00--01010 1000-00221 -00100--10 0020000 0200000110 00000-0200 0?  
Pygaster  110000---- 0000--0000 20?00----0 -00--01010 1000-00201 -00100--10 0020000 0200000110 ????0-0200 0? 
Desorella  1000000000 00000-0000 20??000030 200-??1000 0000-10221 -00000--10 0020000 10300000-0 ????0-0c00 00 
Collyritis  1000000000 0000410000 2000021270 200-101000 0000-10221 -00000--10 0020000 00000100-0 00?00-0000 00 
Disaster  100000A00A 0000100000 20000??C30 200-101000 0000-10221 -00000--10 1220000 00000100-0 00?00-???? ?? 
Pygorhytis  1000000000 00000-0000 2000000030 200-101000 0000-10221 -00000--10 0020000 10000100-0 00?00-???? ?? 
Hyboclypus  1??000???? 00000?0000 20??0????0 ?00-101000 0000-10221 -00000--00 0020000 10000100-00 0?00-???? ?? 
Tithonia  1000000000 0000410000 20??002250 200-101000 0000-10221 -00000--10 1220000 00000110-00 0?00-???? ?? 
Acrolusia  1????????? ?????????? ?0???????0 ?0????1000 0000-10221 -00??0--1? ??20?0? ???0??????? ????????? ?? 
Pseudholaster  1000000000 0000410000 2000021240 200-101000 0000-10221 -00000--10 1020000 00100100-00 0?00-0000 00 
Hemipneustes  1000000000 0100210100 20--021130 100-101000 0000-102?1 -00000--10 1020000 00110110-00 0000-0000 ?? 
Cardiaster  1000001111 0100100000 20--011130 100-101000 0000-10221 -00000--10 1020000 001A0110-00 0000-0000 ?? 
Cardiotaxis  1000001111 1220100100 20--011130 200-101000 0000-10221 -00000--10 1020000 00100120-00 0?00-0000 ?? 
Holaster  1000001101 0020100000 20--021250 200-101000 0000-10221 -00000--10 1020000 00100100-00 0?00-0000 00 
Echinocorys  1000001111 0020100000 2000011240 200-101000 0000-10221 -00000--10 1020000 00100100-00 0000-0000 00 
Stenonaster  1000000001 0000100000 20??021250 20?-?01000 0000-10221 -00000--?0 1020000 00100100-00 0?00-???? ?? 
Stegaster  1000001111 0020100000 20??010130 20?-?01000 0000-102?1 -00000--?0 1220000 00000110-00 0?00-???? ?? 
Calymne 100A001101 1020100010 20--010130 100-101000 0000-10221 -00000--00 1120000 00000110-00 0000-0000 00 
Corystus  1000000001 1020100110 2000021140 100-101000 0000-10221 -00000--10 1020000 00100100-00 0000-0000 00 
Plexechinus  1000011111 10201-0010 20--011130 101-001000 0000-10221 -00000--10 1120000 00000100-00 0000-0000 00 
Pourtalesia  100002???? 1?2????0?? 10--0????0 001-001000 0000-10221 -00000--10 1120000 00000120-00 0?00-0000 00 
Urechinus  1000001111 1020100010 20--011130 100-101000 0000-10221 -00000--10 1020000 00000100-00 0000-0000 00 
Aeropsis  1000000000 0011300000 1001000140 2010101000 0000-10211 -00000--00 1020000 00400100-00 0000-0000 0? 
Coraster  1000000000 0011300000 1000011140 2000101000 0000-10221 -00000--00 1020000 00110120-00 0?00-???? ?? 
Paleopneustes  1000001000 0011101000 100?022260 0000101000 0000-10221 -00000--00 1010000 00110110-00 0000-0000 01 
Micraster  1000000000 0011300000 2000021150 1000101000 0000-10221 -00000--10 1100000 00110120-00 0000-0000 00 
Plesiaster  1000000000 0000310000 2000021150 1000101000 0000-10221 -00000--10 1100000 00110110-00 0?00-???? ?? 
Cyclaster  1000000000 0011300000 2000022150 1000101000 0000-10221 -00000--10 1100000 00110110-00 0000-0000 00 
Palaeostoma  1001001110 00003-0100 000?010130 1000101000 0000-10221 -00000--00 1000000 00000100-03 0000-0000 01 
Pericosmus  100000A000 0011101000 1000021150 0000101000 0000-10221 -00000--00 1010000 00110110-00 0000-0000 01 
Macropneustes  1000000000 0011301000 0000022150 0000101010 1000-10221 –000010000 1220000 00110110-00 0?00-???? ?? 
Unifascia  1000000000 0011100000 ?0??021060 0010001000 0000-10221 -00000--00 1000000 00110110-00 0?00-???? ?? 
Schizaster  1000000000 0011100000 1000021060 0010001000 0000-10221 -00000--00 1200010 00110110-00 0000-0000 01 
Hemiaster  1000000000 0000410000 1000022260 1000101000 0000-10221 -00000--00 1010000 00110110-00 0000-0000 00 
Toxaster  1000000000 0000410000 2000021260 1000101000 0000-10221 -00000--10 1020000 00000100-00 0?00-???? ?? 
Brisaster  1000000000 0011100000 1000021050 0010001000 0000-10221 -00000--00 1200010 00110110-00 0000-0000 01 
Somaliaster  1000001001 0000300000 100-021270 10?0101000 0000-10221 -00000--10 1000000 00000100-00 0?00-???? ?? 
Brissopsis  1000000000 0011101000 000?021050 0010001000 0000-10221 -00000--00 1210010 00110110-00 0000-0000 01 
Antillaster  1000000000 0011101000 10??0??260 10?0101010 0000-10221 -00000--00 1020000 00110110-00 0?00-???? ?? 
Asterostoma  1000000000 0011100000 20??022190 00?0101000 0000-10221 -00000--00 1020000 00101110-00 0?00-???? ?? 
Eupatagus  1000000000 0011301000 0000011251 2010001010 1000-10221 –000010000 1120000 00110100-00 0000-0000 01 
Megapneustes  10000????0 0011301000 ?0??011??0 ?0?0101010 1000-10221 –000010000 1210000 001?0110-00 0?00-???? ?? 
Ovulaster   1000000000 0011100000 2000011140 1000101000 0000-102?1 -00000--00 1020000 00110120-00 0?00-???? ?? 
Palaeotrophus  1000000000 0011101000 1000021150 0000001000 0000-10221 -00000--00 1020000 00110110-00 0000-0000 01 
Periaster  100000???0 0011100000 ?0??0??1?0 a000101000 0000-10221 -00000--00 10100?0 00110110-00 0?00-0000 0? 
Breynia   10?0000000 0011301000 0000022250 1010001010 1010-10221 –000011100 1121000 00110110-00 0000-0000 01 
Brissus   1000001100 0011201000 0000022050 0000101000 0000-10221 -00000--00 1210010 00110110-00 0000-0000 01 
Echinocardium  1000000000 0011101000 0000011150 0000001000 0000-10221 -00000--00 1121010 00110110-00 0000-0000 01 
Eurypatagus  100001000- 0011301000 0000022250 2010021010 1000-10221 –000010000 1120000 00110110-00 0000-0000 01 
Lovenia   1000000000 0011301000 0000001150 1010011010 1010-10221 –000011100 1221100 00110110-00 0000-0000 01 
Maretia   1000000000 0011301000 0000022250 2010011010 1000-10221 –000010000 1120000 00110110-00 0000-0000 01 
Prenaster  10?0000000 0011100000 ?0??0210?0 0000001100 0000-102?1 -00000--00 1000000 00110110-00 0?00-???? ?? 
Spatangus  1000000000 0011101000 0000022050 0000101010 1000-10221 –000010000 1220000 00110110-00 0000-0000 01 
Carnarechinus  1000001111 1020000?10 ?0??0????? 10????1000 0000-????1 -?0?00--?? ???0??0 00????00-00 0?00-???? ?? 
Enichaster  1??00????? ?????????? ????0????? ?0????1000 0000-10??1 -00?00--?0 ???00?0 00??0100-0? ????????? ?? 
Galeropygus  1??0000000 0000000000 20??0????0 ?000101100 0000-10221 -00010--10 0020000 01000000-00 0?00-0000 00 
Clypeus   1000000000 0000000000 20??0????0 2000101100 0000-10221 -00010--10 0020000 11000000-00 0?00-0000 00 
Nucleolites  1000000000 0000100000 20?000?0?0 ?000101000 0000-10221 -00010--00 0020000 14101100-00 0?00-0000 00 
Apatopygus  1000000000 0000100000 20010????0 2000101100 0000-10221 -00010--00 0020000 14500100-00 0100-0000 00 
Pygaulus  1??0000000 00??1?0000 20??0000?0 2000101000 0000-10221 -000?0--00 0020000 00200100-00 0?00-???? ?? 
Archiacia  1??000???? 0?????00?? ????0????0 ?0101?1000 0000-10??1 -????0--00 0020000 00001100-00 0?00-???? ?? 
Claviaster  1??000???? 00????00?? 20??0????0 ?0????1000 0000-10??1 -00??0--?0 0020000 00001100-00 0?00-???? ?? 
Cassidulus  1000000000 0000100000 2001001060 2011121100 0000-10221 -00010--00 0020100 13101100-00 0100-0000 00 
Faujasia  1000000000 0000300000 2001101090 2010121100 0000-10221 -00010--00 0020000 13301100-00 0?00-0000 00 
Stigmatopygus  1000000000 0000300000 2001101090 2010121100 0000-10221 -00010--00 0020000 13101100-00 0?00-???? ?? 
Echinolampas  1000000000 0000100000 20010???80 20A0101100 0000-10221 -00010--00 0020000 13100100-00 0000-0101 00 
Clypeolampas  1000000000 0000100000 20??222210 2010101100 0000-10221 -00010--10 0020000 13101100-00 0?00-???? ?? 
Neolampas  1000000000 0000100000 2001001060 2000101100 0000-10221 -00010--00 0020000 13400100-00 0100-0000 00 
Pliolampas  1000000000 00????0000 20??0????0 ?000101100 0000-10221 -00010--00 0020000 13400100-00 0?00-???? ?? 
Plesiolampas  1000000000 0000100000 20??0???90 2000101100 0000-10221 -00010--10 0020000 13501000-00 0?00-???? ?? 
Oligopygus  1000000000 0000000000 200?011130 2000101100 0000-10221 -00000--00 0020000 12500000-00 0?00-0101 00 
Haimea   1000000000 0000000000 2001211130 2000101100 0000-10221 -00000--00 0020000 13001000-00 0?00-0101 00 
Conoclypus  1000000000 0000020000 20??2??130 2000101100 0000-10221 -00000--00 0020000 13101000-00 0?00-010? 00 
Oligopygus  1000000000 0000000000 200?011130 2000101100 0000-10221 -00000--00 0020000 12500000-00 0?00-0101 00 
Haimea   1000000000 0000000000 2001211130 2000101100 0000-10221 -00000--00 0020000 13001000-00 0?00-0101 00 
Conoclypus  1000000000 0000020000 20??2??130 2000101100 0000-10221 -00000--00 0020000 13101000-00 0?00-010? 00 
Clypeaster  100222---- 00003-0000 2001011141 2000101100 0000-10221 -00000--10 0020000 12000000-00 0000-0100 00 
Ammotrophus  100111---- 00003-0000 2001011141 2000101100 0000-10221 -00000--01 0020000 11000000-00 0000-0100 00 
Arachnoides  100222---- 00103-0000 000?011141 2000101100 0000-10221 -00000--01 0020000 11000000-00 0000-0100 00 
Fossulaster  111222---- 00000-0000 00??00004? 0000101100 0000-10221 -00000--00 0020000 11000000-00 0?00-0100 00 
Scutellinoides  111222---- 00?00-0000 10??00004? 0000101100 0000-10221 -00000--00 00-0000 00000000-00 0?00-0100 00 
Echinocyamus  1000000000 0011101000 2210011130 2000101100 0000-10221 -00000--00 0020000 11000000-00 0200-1000 00 
Fibularia  1000000000 0011101000 2210011130 2000101100 0000-10221 -00000--00 0020000 00000000-00 0200-1000 00 
Laganum   1000000000 0011301000 2110000031 2000101100 0000-10221 -00000--00 0020000 11000000-00 0200-1000 00 
