Phyllacanthus 1000000 0-0-002100 0000-00000 0000?? 00003----- 012010-110 5150000000 0 0000-0- 000-1--0-- 0 10000011 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11001203 000000--00 30000 00000000-0 1100210000 0 110001000? ????11 1101020010 000000000- ----00-000 00?00-0000 0---- 
Tylocidaris 1000000 0-0-002100 0000-00000 0000?? 00002----- 012010-110 5150000000 0 0000-0- 000-1--0-- 0 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11011003 110000--00 30000 00000000-0 1000210000 0 110001000? 0?0011 1?01020000 000100000- ----00-000 00?00-0000 0---- 
Roseicidaris 1000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-??? ?????????? ?????????? ???0-0- 000-1--0-- 0 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 11011103 110000--00 30000 00000000-0 ????2?0000 0 11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Stereocidaris 1000000 0-0-002100 10200000 0 00003----- 012010-110 5150000000 0 0000-0- 000-1--0-- 0 10000011 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11011203 000000--00 30000 00000000-0 1100210000 0 1100010000 11 1101020010 100000000- ----00-000 00?00-0000 0---- 
Typocidaris 1000000 0-0-002100 001?200000 0 0000?????? 0???10-??? ?????????? ?????????? ???0-?- 000-1--0-- 0 10000011 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 11011203 000000--00 30000 00000000-0 ????2?0000 0 11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Eotiaris 1000000 0-0-002010 000?-00000 0000?? 000??????? 0???10-1?? ?????????? ?????????? ???0-?- ?????????? ?????????? ?????????? ?????????? ?????????? 0??-0-???- ??0------- 0 110000---- 0000--0000 20??0----0 -00--00-11 001100022? 000000--00 00?000? 00000000-0 ????200??? 0 11000?000? 0?0011 0000-1000? 00000000?? ????00-000 00?00-0000 0---- 
Pelanodiadema 0?01000000 0-0-001000 0000-00000 0000?? 00000----- 012010-100 5150??1000 000010000? ?0?0-0- 221011321 000-000000 22011 10000-0000 33000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-00202 000000--00 20000 110 1000?????0 0 110111000? 11 1?00-0000? 00?00000?? ?????0-000 00?00-0000 0---- 
Araeosoma 101000000 0-0-000000 1100-00000 11 00000----- 012010-100 5153?11000 100000 0010-0- 020-012321 011-000000 22133 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-10 0000-00202 000000--00 20000 00000000-0 1000120210 0 1101110001 11 0000-00002 1100000010 300000-000 00?00-0000 0---- 
Hygrosoma 101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 5153?11020 100000 0010-0- 020-012321 011-000000 22111 00100-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-10 1000-00201 000000--00 20000 00000000-0 1000??0??0 0 1101?1000? 11 0000-00002 1100000010 300100-000 00?00-0000 0---- 
Kamptosoma 101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 51?0?10000 110000 0010-0- 020-012321 011-010000 30000100 00100-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -?0--00-11 0000-00223 000000--00 10000 00000000-0 20000-02?0 0 1101?1000? 11 0000-00002 10 300000-000 00?00-0000 0---- 
Paraphormosoma 101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 5150?10000 100000 0010-0- 020-014321 001-010000 22011 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-10 1000-00201 000000--00 20000 00000000-0 1000120210 0 1101?1000? 11 0000-00002 10000010 300000-000 00?00-0000 0---- 
Phormosoma 101000000 0-0-000000 0000-00000 11 00020----- 012010-100 01530-1020 0000-00000 0010-0- 020-011321 011-000000 20111 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -?0--00-10 1000-00201 000000--00 20000 00000000-0 1000220210 0 0 1101110001 11 0000-00002 10000010 300100-000 00?00-0000 0---- 
Sperosoma 101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 5153?11020 110000 0010-0- 020-014321 001-000000 22100 00100-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-10 0000-00201 000000--00 20000 00000000-0 1000??0??0 0 1101?1000? 11 0000-00002 1100000010 300000-000 00?00-0000 0---- 
Aspidodiadema 1000000 0-0-002100 0000-00000 11 00000----- 012010-100 5150000000 100000 0030-0- 020-00030? 0 1 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-00221 000000--00 20000 100 20000-0200 0 110111000? 11 2000-01000 11 300000-000 00?00-0000 0---- 
Diadema 1000000 0-0-001100 0000-00000 11 101100 012010-100 5150011000 1 0020-0- 221000301 2000000 11 10000-0000 33000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-10 1000-00222 000000--00 20000 110 2000220210 1101110001 11 0010-0100? 10000010 300000-000 00?00-0000 0----
Heterodiadema 1000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-0?0 ?????????? ?????????? ???0-?- 221000301 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0000-01221 000000--00 20000 110 ?????????? ?? 110??????? ??0011 ?????????? ???00000?? ?????0-000 00?00-0000 0---- 
Micropyga 101000000 0-0-001000 0000-00000 11 00000----- 012010-100 5150011000 100000 0010-0- 221011321 000-000000 11011 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-10 1000-00201 000000--00 20000 120 20000-0200 0 110111000? 11 0000-00000 1000000010 300000-000 00?00-0000 0---- 
Caenopedina 1000000 0-0-002100 0000-00000 11 00002----- 012000-100 5150000000 1 0010-0- 221000301 2000000 11 10000-0000 000003?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-00203 000000--00 20000 100 20000-0200 0 110111000? 11 1000-00000 10 300000-000 00?00-0000 0---- 
Eodiadema 1000000 0-0-002100 0000-00000 0000?? 101110 012000-100 5150?01000 00000000a1 ???0-?- 012000030? 0 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0010-01223 000000--00 20000 100 ?????????? 0 1101?1000? 11 ?000-0000? ???000?0?? ????00-000 00?00-0000 0---- 
Orthopsis 1000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150000000 00000000a1 ???0-?- 022000030? 0 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-10201 000000--00 20000 100 ????0-0210 0 110111100? 111 ?00-0000? 00000000?? ?????0-000 00?00-0000 0---- 
Acrosalenia 1000000 0-0-002100 0000-00000 11 101110 012000-110 5150000000 22 1??0-?- 220000301 2000000 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0010-00223 000000--00 20000 110 20000-0210 0 11010?1001 111 ?01000000 10 200000-000 00?00-0000 0---- 
Goniophorus 1000000 0-0-002100 0003-00000 0000?? 00002----- 012000-110 5150000000 1001000022 1??0-?- 012000020? 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11000023 000000--00 30000 100 ?????????? ?? 11???????? ??????1 000-000?? 11 200000-000 00?00-0000 0---- 
Hyposalenia 1000000 0-0-002100 0001-00000 0000?? 00002----- 012000-111 5150000000 1000000022 1??0-?- 022000020? 2000000 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 0010-00023 000000--00 30000 100 ????0-0200 0 0 11???????? ??????1 ?0110000? 00000000?? ????00-000 00?00-0000 0---- 
Pseudosalenia 1000000 0-0-002100 0001-00000 0000?? 00002----- 012000-110 5150000000 22 1??0-?- 121000301 2000000 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 0010-00223 000000--00 30000 100 ?????????? ?? 11???????? ??????1 ?01?000?? 00000000?? ????00-000 00?00-0000 0---- 
Holosalenia 1000000 0-0-002100 0001-00000 0000?? 101111 012000-111 5150000000 22 2??0-?- 022000020? 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11000023 000000--00 30000 100 ?????????? ?? 11???????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Salenia 1000000 0-0-002100 0001-00000 11 00002----- 012000-111 5150000000 1000000022 2010-0- 022000020? 2000000 11 10000-0000 13000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0010-00023 000000--00 30000 100 20000-0200 1101011001 111 1000000 10 -1-200-000 00?00-0000 0----
