Pygorhytis 1001000000 0-0-002100 0000-00000 0000?? 0121-01110 210011010 4140000000 100001 ???29?6 140-0-331? 0 12 10000-0001 000002?000 001-0-000- 000------- 0 1000000000 00000-0000 2000000030 200-101000 0000-10221 -00000--10 20000 10000100-0 00?00-???? ?? 0?------?- ------? ????????? ???0?0?111 2000000000 00000-0000 0---- 
Hyboclypus 1001000000 0-0-002100 0000-00000 0000?? 1020-01110 2110010010 5140000000 00001000a1 ???19?7 140-0-331? 0 12 10000-0000 000002?000 001-0-000- 000------- 0 1??000???? 00000?0000 20??0????0 ?00-101000 0000-10221 -00000--00 20000 10000100-00 0?00-???? ?? 0?------?- ------? ????????? ???0?0?111 2000000000 00000-0000 0---- 
Tithonia 1001010000 0-0-002100 0000-00000 0000?? 0221------ 2?4000-100 2140000100 100001 ???2903 100-0----- 0 30000000 0?000-00?1 0?0001?011 001-1-000- -00------- -1 1000000000 410000 20??002250 200-101000 0000-10221 -00000--10 1220000 00000110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Acrolusia 1001010000 0-0-002100 0000-00000 0000?? 0221------ 02410???00 4140000000 000000000? ???2??? 1?0-0-?--- 0000?00000 0010?000?? ??0?0-00?? ???????00? 1010000000 010------- -? 1????????? ?????????? ?0???????0 ?0????1000 0000-10221 -00??0--1? ??20?0? ???0??????? ????????? ?? ??------?- ------? ????????? ???0?0?0?? ????000000 00000-000? ????? 
Pseudholaster 1001020000 0-0-002100 0000-00000 0000?? 0220------ 224000-100 4140000000 00001000a1 ???27?4 100-0--00- 0 10000100 21000-00?1 000001?110 1011000000 010------- -1 1000000000 410000 2000021240 200-101000 0000-10221 -00000--10 1020000 00100100-00 0?00-0000 0 0?------?- ------? ????????? ???0?0?010 ??0?000000 00000-0000 0---- 
Hemipneustes 1011020000 0-0-002100 0000-00000 11 0220------ 224000-100 4140000010 00001000a1 12615 100-0--00- 0 10000100 21000-00?1 000001?110 1010000000 310------- -1 1000000000 100210100 20--021130 100-101000 0000-102?1 -00000--10 1020000 00110110-00 0000-0000 ?? 0?------?- ------? ??0-0000? 0000?0?0?? ????000000 00000-0000 0---- 
Cardiaster 1001020000 0-0-002100 0000-00000 0000?? 0220------ 224000-000 4140000000 00001000a1 ???2613 100-0--00- 0 10000100 01000-00?1 000000?111 1011000000 100------- -1 1000001111 100100000 20--011130 100-101000 0000-10221 -00000--10 1020000 001A0110-00 0000-0000 ?? 0?------?- ------? ??0-0000? 0000?0?0?? ????010000 10110001 0---- 
Cardiotaxis 1001020000 0-0-002100 0000-00000 0000?? 0220------ 224000-000 4140000000 00001000a1 ???2713 100-0--00- 0 10000100 01000-00?1 000000?111 1011000000 100------- -1 1000001111 1220100100 20--011130 200-101000 0000-10221 -00000--10 1020000 00100120-00 0?00-0000 ?? 0?------?- ------? ??0-0000? 0000?0?0?? ????010000 10110001 0---- 
Holaster 1001020000 0-0-002100 0000-00000 11 0220------ 224000-100 4140000000 00001000a1 ???2713 100-0--00- 0 10000100 21000-00?1 000001?110 1010000000 100------- -1 1000001101 20100000 20--021250 200-101000 0000-10221 -00000--10 1020000 00100100-00 0?00-0000 0 0?------?- ------? ??0-0000? 0000?0?0?? ????000000 00000-0000 0---- 
Echinocorys 1011000000 0-0-002100 0000-00000 11 0220------ B24A00-100 4140000000 00001000a1 ???3613 100-0--00- 0 10000100 21000-00?1 000001?000 1010000000 000------- -1 1000001111 20100000 2000011240 200-101000 0000-10221 -00000--10 1020000 00100100-00 0000-0000 0 0?------?- ------? ??0-0000? 10 2002000000 00000-0000 0---- 
Stenonaster 1011000000 0-0-002100 0000-00000 0000?? 0210------ 024000-100 4140000000 00000000a1 ???35?3 100-0--00- 0 10000100 21000-00?1 000001?000 10-0000000 000------- -1 1000000001 100000 20??021250 20?-?01000 0000-10221 -00000--?0 1020000 00100100-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Stegaster 1011020000 0-0-002100 0000-00000 0000?? 0220------ 224000-100 4140000000 00001000a1 ???27?3 100-0--00- 0 10000100 01000-00?? 000000?111 10-1000000 000------- -1 1000001111 20100000 20??010130 20?-?01000 0000-102?1 -00000--?0 1220000 00000110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?0???? ????010000 10111001 0---- 
Calymne 1001000000 0-0-002100 0000-00000 0000?? 0220------ 224000-000 4110?00000 100001 12713 100-0--00- 0 30100100 00000-0011 000000-001 00--0-000- --0------- -1 100A001101 1020100010 20--010130 100-101000 0000-10221 -00000--00 1120000 00000110-00 0000-0000 0 00------?- ------0 010-0000? 100010 2002010000 00101?1001 0---- 
Corystus 1001000000 0-0-002100 0000-00000 0000?? 0220------ 224000-200 4140000000 100001 12613 100-0--00- 0 10000100 21000-0011 001000-100 1010000000 000------- -1 1000000001 1020100110 2000021140 100-101000 0000-10221 -00000--10 1020000 00100100-00 0000-0000 0 00------?- ------? 0?0-00000 11 2003010000 00000-0000 11120 
Plexechinus 1001011000 0-0-002100 0000-00000 0000?? 1221------ 224000-200 31 100001 11613 100-0--00- 0 30100100 00000-0011 000000-000 00--1-000- --0------- 0 1000011111 10201-0010 20--011130 101-001000 0000-10221 -00000--10 1120000 00000100-00 0000-0000 0 00------?- ------1 000-00000 000000?010 1002010000 00000-0000 10120 
Pourtalesia 1001011000 0-0-002100 0000-00000 0000?? 1221------ 223000-200 41400001?0 100001 11713 100-0--00- 0 30100100 00000-0001 000000-011 00--1-000- --0------- 0 100002???? 1?2????0?? 10--0????0 001-001000 0000-10221 -00000--10 1120000 00000120-00 0?00-0000 0 0?------?- ------0 010-00000 10 1002010000 00000-0000 11120 
Urechinus 1001000000 0-0-002100 0000-00000 0000?? 0220------ 224000-100 4130000000 100001 13514 100-0--00- 0 100100 00000-0011 000000-000 00--0-000- --0------- 0 1000001111 1020100010 20--011130 100-101000 0000-10221 -00000--10 1020000 00000100-00 0000-0000 0 0?------?- ------0 010-00000 00000000?? ????000000 00000-0000 0---- 
Aeropsis 1001000000 0-0-002100 0000-00000 0000?? 1210------ 004100-100 R120000000 1 00116?2 100-0--00- 0 30100100 01000-0011 000000-210 001-0-000- 000------- -1 1000000000 11300000 1001000140 2010101000 0000-10211 -00000--00 1020000 00400100-00 0000-0000 0? 00------?- ------0 010-0000? 00000000?? ????012001 00000?1000 0---- 
Coraster 10010A0000 0-0-002100 0000-00000 0000?? 1210------ 004100-100 4140000000 00000000a1 ???16?2 100-0--00- 0 30000100 01000-00?1 010000?110 001-0-000- 000------- -1 1000000000 11300000 1000011140 2000101000 0000-10221 -00000--00 1020000 00110120-00 0?00-???? ?? 0?------?- ------? ????????? ???0?0?0?? ????012101 00000?1000 0---- 
Paleopneustes 1001000000 0-0-002100 0000-00000 11 0210------ 000100-100 4130010000 1 12514 100-0--00- 0 10100100 21000-0011 000001-100 1000010001 000------- -1 1000001000 11101000 100?022260 101000 0000-10221 -00000--00 1010000 00110110-00 0000-0000 1 00------?- ------1 010-00000 10 2012010 100101101 0---- 
Micraster 1001020000 0-0-002100 0000-00000 11 0210------ 004100-100 4140010000 00000000a1 ???271F 100-0--00- 0 10000100 21000-00?1 010001?b20 1000000101 100------- -1 1000000000 11300000 2000021150 1000101000 0000-10221 -00000--10 1100000 00110120-00 0000-0000 0 0?------?- ------0 010-0000? 00?0000011 2002010000 00000-0000 10000 
Plesiaster 1001020000 0-0-002100 0000-00000 0000?? 0210------ 004100-100 4140000000 00000000a1 ???27?F 100-0--00- 0 10000100 21000-00?1 010001?b20 10000?0101 100------- -1 1000000000 310000 2000021150 1000101000 0000-10221 -00000--10 1100000 00110110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????010000 00000-0000 10000 
Cyclaster 1000020000 0-0-002100 0000-00000 0000?? 0210------ 024100-100 4130100000 1 12612 100-0--00- 0 10000100 21000-0011 010001-220 1000000101 100------- -1 1000000000 11300000 2000022150 1000101000 0000-10221 -00000--10 1100000 00110110-00 0000-0000 0 0?------?- ------? 0?0-00000 11 200201BAA0 0000000A00 10000 
Palaeostoma 1000010000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 4120010000 1 12613 100-0--00- 0 10100100 01000-0011 010000-200 1001000101 100------- -1 1001001110 00003-0100 000?010130 1000101000 0000-10221 -00000--00 1000000 00000100-03 0000-0000 1 00------?- ------0 010-0000? 10010 2002012101 0 0---- 
Pericosmus 1001020000 0-0-002100 0000-00000 11 0210------ 000100-200 4130010000 1 12514 100-0--00- 0 10100100 21000-0011 010001-C20 1100010101 000------- -1 100000A000 11101000 1000021150 101000 0000-10221 -00000--00 1010000 00110110-00 0000-0000 1 00------?- ------0 010-0000? 10010 2012110 100101101 0---- 
Macropneustes 1001020000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4140010000 00000000a1 ???25?4 100-0--00- 0 10100100 21000-00?1 011001?110 1100000101 000------- -1 1000000000 11301000 22150 101010 1000-10221 -000010000 1220000 00110110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????012010 100 11110 
Unifascia 1001010000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???25?4 100-0--00- 0 10100100 21000-00?1 010001?110 1000100101 000------- -1 1000000000 11100000 ?0??021060 10001000 0000-10221 -00000--00 1000000 00110110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????012100 1000011000 0---- 
Schizaster 1000020000 0-0-002100 0000-00000 11 2210------ 000100-000 4140010000 1 12514 100-0--00- 0 10100100 21000-0011 010001-220 1001000101 100------- -1 1000000000 11100000 1000021060 10001000 0000-10221 -00000--00 1200010 00110110-00 0000-0000 1 00------?- ------0 010-0000? 110010 2012101 1101001 0---- 
Hemiaster 1000010000 0-0-002100 0000-00000 11 0210------ 024100-100 4140000000 00000000a1 00126?2 100-0--00- 0 10000100 21000-0011 010001-220 1001000101 100------- -1 1000000000 410000 1000022260 1000101000 0000-10221 -00000--00 1010000 00110110-00 0000-0000 0 0?------?- ------0 0?0-0000? 0000?100?? ????012110 100 0---- 
Toxaster 1001020000 0-0-002100 0000-00000 11 0210------ 024100-000 4140000000 00000000a1 ???26?3 100-0--00- 0 10000100 21000-00?1 000001?010 1001000000 100------- -1 1000000000 410000 2000021260 1000101000 0000-10221 -00000--10 1020000 00000100-00 0?00-???? ?? 0?------?- ------0 0?0-0000? 00000?00?? ????000000 00000-0000 0---- 
Brisaster 1000020000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4130010000 1 12514 100-0--00- 0 10100100 21000-0011 010001-220 1101000101 100------- -1 1000000000 11100000 1000021050 10001000 0000-10221 -00000--00 1200010 00110110-00 0000-0000 1 00------?- ------0 010-0000? 110010 2012101 1101001 0---- 
Somaliaster 1001010000 0-0-002100 0000-00000 0000?? 0210------ 004100-100 4140010000 00000000a1 ???25?3 100-0--00- 0 10000100 01000-00?1 000001?b10 1000000001 100------- -1 1000001001 300000 100-021270 10?0101000 0000-10221 -00000--10 1000000 00000100-00 0?00-???? ?? 0?------?- ------? ????????? ???0?0?0?? ????012001 10000 0---- 
Brissopsis 1001020000 0-0-002100 0000-00000 11 0210------ 000100-100 4140010000 1 12514 100-0--00- 0 10100100 21000-0011 011001-220 1000010101 100------- -1 1000000000 11101000 000?021050 10001000 0000-10221 -00000--00 1210010 00110110-00 0000-0000 1 00------?- ------0 010-0000? 110011 2002012110 100 11110 
Antillaster 1001020000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 41E0010000 00000000a1 ???25?4 100-0--00- 0 10100100 21000-00?1 011001?100 1012110001 000------- -1 1000000000 11101000 10??0??260 10?0101010 0000-10221 -00000--00 1020000 00110110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Asterostoma 1001000000 0-0-002100 0000-00000 0000?? 1210------ 000100-100 4140010000 00000000a1 ???25?4 100-0--00- 0 10100100 01000-00?1 000003?102 1012100001 000------- -1 1000000000 11100000 20??022190 00?0101000 0000-10221 -00000--00 1020000 00101110-00 0?00-???? ?? ?? 0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Eupatagus 1001000000 0-0-002100 0000-00000 11 0210------ 000100-000 4140010000 1 12415 100-0--00- 0 10100100 21000-0011 011001-100 1110010001 100------- -1 1000000000 11301000 11251 2010001010 1000-10221 -000010000 1120000 00110100-00 0000-0000 1 00------?- ------0 010-0000? 10011 2002012010 00000-0100 11110 
Megapneustes 1001020000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 4140010000 00000000a1 ???25?4 100-0--00- 0 10100100 21000-00?1 01100??100 1000000001 000------- -1 10000????0 11301000 ?0??011??0 ?0?0101010 1000-10221 -000010000 1210000 001?0110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????0120?? 100 11?10 
Ovulaster 10010A0000 0-0-002100 0000-00000 0000?? 1210------ 024100-100 4140000000 00000000a1 ???25?F 100-0--00- 0 30000100 01000-0011 0?0001?110 00100-000- 000------- 0 1000000000 11100000 2000011140 1000101000 0000-102?1 -00000--00 1020000 00110120-00 0?00-???? 1 0?------?- ------? ????????? ???0?0???? ????010000 00000-0000 11020
Palaeotrophus 1001000000 0-0-002100 0000-00000 0000?? 0210------ 0?3?00-100 11200?0000 1 00124?4 100-0--00- 1000 30100100 01000-0011 011001-100 00-?0-000- -00------- -1 1000000000 11101000 1000021150 1000 0000-10221 -00000--00 1020000 00110110-00 0000-0000 1 1 00------?- ------0 010-0000? 10010 2002010000 00000-0000 11120 
Periaster 1001000000 0-0-002100 0000-00000 0000?? 0210------ 023100-000 4140000000 00000000a1 ???2??? 100-0--00- 0 10000100 21000-00?1 0?0000?020 1001000101 100------- -1 100000???0 11100000 ?0??0??1?0 a000101000 0000-10221 -00000--00 10100?0 00110110-00 0?00-0000 0? 0?------?- ------? ????????? ???0?????? ????012101 1101001 0---- 
Breynia 1001020000 0-0-002100 0000-00000 11 0210------ 000100-100 4140010000 1 12415 100-0--00- 0 10100100 21000-0011 011001-110 1210010001 200------- -1 10?0000000 11301000 22250 1010001010 1010-10221 -000011100 1121000 00110110-00 0000-0000 ------0 010-0000? 10011 2002012010 110 11120 
Brissus 1001000000 0-0-002100 0000-00000 11 1210------ 000100-000 4140010000 1 12414 100-0--00- 0 10100100 21000-0011 011001-100 1000110101 000------- -1 1000001100 11201000 22050 101000 0000-10221 -00000--00 1210010 00110110-00 0000-0000 1 00------?- ------0 010-0000? 10011 2002012110 100 11110
Echinocardium 1000020000 0-0-002100 0000-00000 11 0210------ 000100-A00 4140010000 1 12415 100-0--00- 0 10100100 21000-0011 011011-310 1210000101 200------- -1 1000000000 11101000 11150 1000 0000-10221 -00000--00 1121010 00110110-00 0000-0000 1 1 00------?- ------0 010-0000? 110011 2002010000 00000-0010 11121 
Eurypatagus 1001000000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4140010000 1 12415 100-0--00- 0 10100100 21000-0011 011002-100 1002100001 100------- -1 100001000- 11301000 22250 2010021010 1000-10221 -000010000 1120000 00110110-00 0000-0000 1 00------?- ------0 010-0000? 10010 2002010000 00000-0000 11120 
Lovenia 1001020000 0-0-002100 0000-00000 11 0210------ 1021100 4140010000 1 3012415 100-0--00- 0 10100100 21000-0011 011011-110 1210000101 200------- -1 1000000000 11301000 1150 1010011010 1010-10221 -000011100 1221100 00110110-00 0000-0000 00------?- ------0 010-0000? 10012 2002010000 00000-0010 11110
Maretia 1001010000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 4140010000 1 00124?5 100-0--00- 0 10100100 21000-0011 011002-100 1112010001 100------- -1 1000000000 11301000 22250 2010011010 1000-10221 -000010000 1120000 00110110-00 0000-0000 00------?- ------0 010-0000? 10011 2002010000 00000-0000 11120
Prenaster 1001000000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???25?4 100-0--00- 0 10100100 21000-00?1 010001-100 1000100101 000------- -1 10?0000000 11100000 ?0??0210?0 1100 0000-102?1 -00000--00 1000000 00110110-00 0?00-???? ?? 0?------?- ------? ????????? ???0?????? ????012100 1001111001 0---- 
Spatangus 1001020000 0-0-002100 0000-00000 11 0210------ 000100-000 4140010000 1 12514 100-0--00- 0 10100100 21000-0011 011001-110 1110010101 100------- -1 1000000000 11101000 22050 101010 1000-10221 -000010000 1220000 00110110-00 0000-0000 1 00------?- ------0 010-0000? 10011 2002010000 00000-0000 11110 
Carnarechinus 1?0?000000 0-0-002100 0000-00000 0000?? ?210------ 02410???00 4140?00010 00000000?? ?????1? 100-0--00- 0 30100100 00000-00?1 0??000?000 00--0-00?- --0------- -? 1000001111 1020000?10 ?0??0????? 10????1000 0000-????1 -?0?00--?? ???0??0 00????00-00 0?00-???? ?? 0 0?------?- ------? 0?0-0000? 0000?????? ?????????? ?????????? ????? 
Enichaster 1101000000 0-0-002100 0000-00000 0000?? 0210------ 0??100??00 4140??000? ?0000000?? ???2??? 100-0--00- 0000?00?00 0010?00?0? ???00-00?? ???????100 1000000000 100------- -? 1??00????? ?????????? ????0????? ?0????1000 0000-10??1 -00?00--?0 ???00?0 00??0100-0? ????????? ?? 0?------?- ------? ????????? ???0?????? ?????????? ?????????? ????? 
Galeropygus 1000000 0-0-002100 0000-00000 11 100100100 110110010 4140000000 1 ?0?090? 110-0-131? 0 12 10000-0000 ?00003?000 1010000000 000------- 0 1??0000000 0 20??0????0 ?000101100 0000-10221 -00010--10 20000 01000000-00 0?00-0000 0 0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Clypeus 1000000 0-0-002100 0000-00000 0000?? 110101110 00410100A0 4140011000 00000000a1 ???0904 110-0-331? 0 10000012 10000-0000 ?00003?000 1010000000 010------- 0 1000000000 0 20??0????0 2000101100 0000-10221 -00010--10 20000 11000000-00 0?00-0000 0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0----
Nucleolites 1001000000 0-0-002100 0000-00000 11 0210------ 0B41010000 4140010000 00000000a1 ???090E 140-0-331? 100000 10000002 10000-0000 ?00003?000 1010000000 000------- 0 1000000000 100000 20?000?0?0 ?000101000 0000-10221 -00010--00 20000 14101100-00 0?00-0000 0 0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Apatopygus 1001000000 0-0-002100 0000-00000 0000?? 0210------ 231010000 4140010000 1 1010906 140-0-331? 0 10100002 11000-0001 100003?000 1002000001 000------- 0 1000000000 100000 20010????0 2000101100 0000-10221 -00010--00 20000 14500100-00 0100-0000 0 111002002 1100011 000-00000 111 2012000000 00000-0000 0---- 
Pygaulus 1001000000 0-0-002100 0000-00000 0000?? 0210------ 41011000 4140010000 00000000a1 ???3?03 140-0-031? 0 10000003 11000-0001 ?00002?000 1010000000 000------- 0 1??0000000 00??1?0000 20??0000?0 2000101000 0000-10221 -000?0--00 20000 00200100-00 0?00-???? ?? 0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Archiacia 1002110000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???3??? 140-0-331? 0000?00??0 10000003 21000-00?? ?00003?111 1110000001 000------- 0 1??000???? 0?????00?? ????0????0 ?0101?1000 0000-10??1 -????0--00 20000 00001100-00 0?00-???? ?? 0?------?- ------? ????????? ???000???? ????000000 00000-0000 0---- 
Claviaster 1002110000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???3??4 140-0-331? 0000?00??0 10000003 21000-00?? ?00003?111 1110000001 000------- 0 1??000???? 00????00?? 20??0????0 ?0????1000 0000-10??1 -00??0--?0 20000 00001100-00 0?00-???? ?? 0?------?- ------? ????????? ???000???? ????000000 00000-0000 0---- 
Cassidulus 1001000000 000-002100 0000-00000 11 0210------ 0-0-011200 1141010000 1 1011903 140-0-0-0? 100000 10100001 21000-0001 100101?000 1012000001 000------- 0 1000000000 100000 2001001060 2011121100 0000-10221 -00010--00 20100 13101100-00 0100-0000 0 0?------?- ------0 010-00001 111 2012000000 00000-0000 0---- 
Faujasia 1001000000 000-002100 0000-00000 0000?? 0210------ 0-0-00-100 1142010000 00000000a1 ???3402 140-0-331? 100000 10100003 21000-0001 ?00102?000 1110000001 000------- 0 1000000000 300000 2001101090 2010121100 0000-10221 -00010--00 20000 13301100-00 0?00-0000 0 0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Stigmatopygus 1001000000 000-002100 0000-00000 0000?? 0210------ 1011000 4141010000 00000000a1 ???2804 140-0-3?1? 100000 10100003 21000-0001 ?00102?000 1110401001 000------- 0 1000000000 300000 2001101090 2010121100 0000-10221 -00010--00 20000 13101100-00 0?00-???? ?? 0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Echinolampas 10A1000000 000-002100 0000-00000 11 0210------ 0-0-00-200 1141010000 1 1014703 140-0-331? 100000 10100003 21000-0001 1001031000 1A10001001 000------- 0 1000000000 100000 20010???80 20A0101100 0000-10221 -00010--00 20000 13100100-00 0000-0101 0 111002002 110001A 0A0-00001 111 2012000000 00000-0000 0---- 
Clypeolampas 1011000000 000-002100 0000-00000 0000?? 0210------ 0-0-00-200 1140010000 00000000a1 ???3903 140-0-343? 1000100000 10100003 21000-000? ?00103?000 1010000001 010------- 0 1000000000 100000 20??222210 2010101100 0000-10221 -00010--10 20000 13101100-00 0?00-???? ?? 0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Neolampas 1001000000 000-002100 0000-00000 0000?? 0210------ 0-0-011100 1170110000 1 3013712 140-0-331? 100000 30100003 21000-0001 10000 00--0-000- -00------- 0 1000000000 100000 2001001060 2000101100 0000-10221 -00010--00 20000 13400100-00 0100-0000 0 0?------?- ------0 010-00001 111 2012000000 00000-0000 0---- 
Pliolampas 1001000000 000-002100 0000-00000 0000?? 0210------ 0-0-011100 1170110000 1 ?013?03 140-0-331? 100000 10100003 21000-000? ?000010000 1000000001 000------- 0 1000000000 00????0000 20??0????0 ?000101100 0000-10221 -00010--00 20000 13400100-00 0?00-???? ?? 0 0?------?- ------0 010-0000? 111 2012000000 00000-0000 0---- 
Plesiolampas 1001000000 000-002100 0000-00000 11 0210------ 0-0-00-000 1141010000 00000000a1 ???35?4 140-0-131? 0 10100011 00000-000? ?00102?000 1010000001 000------- 0 1000000000 100000 20??0???90 2000101100 0000-10221 -00010--10 20000 13501000-00 0?00-???? ?? 0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Oligopygus 1001000000 000-002100 0000-01?00 00001A 0210------ 0-0-00-100 12411-0000 00000000a1 ???4511 110-0-143? 000-100100 110101011 00010-0000 10010-?000 1010000001 000------- 0 1000000000 0 200?011130 2000101100 0000-10221 -00000--00 20000 12500000-00 0?00-0101 0 1110002002 112101? ????????? ???000?111 2011000000 00000-0000 0---- 
Haimea 1001000000 000-002100 0000-0??00 11 0210------ 0-0-00-100 12411-0000 00000000a1 ???45?2 110-0-121? 000-100100 110100011 00010-0000 10010-?000 1010000001 000------- 0 1000000000 0 2001211130 2000101100 0000-10221 -00000--00 20000 13001000-00 0?00-0101 0 1110002002 112101? ????????? ???000?111 2011000000 00000-0000 0----
Conoclypus 11000000 000-002100 0000-00000 11 0210------ 0-0-011000 12410-0000 1 ???3??? 140-0-121? 100100 110100011 00000-0000 10010-?000 1010000001 000------- 0 1000000000 20000 20??2??130 2000101100 0000-10221 -00000--00 20000 13101000-00 0?00-010? 0 11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Clypeaster 1001000000 000-002100 0000-00000 121011 0210------ 0-0-00-100 125C010000 1 13512 130-00121? 20100 001010---- 1110000 00000-2000 1110010001 0010---0-0 -0 100222---- 00003-0000 2001011141 2000101100 0000-10221 -00000--10 20000 12000000-00 0000-0100 0 1110002002 1121010 0A0-00000 112 100-000000 00000-0000 0---- 
Ammotrophus 1201000000 000-102100 0000-01100 1210?? 0210------ 0-0-00-100 1241010000 1 00142?1 130-00121? 20110 001010---- 1100000 00010-0000 1010000001 0010---0-1 -0 100111---- 00003-0000 2001011141 2000101100 0000-10221 -00000--01 20000 11000000-00 0000-0100 0 11?0002002 11??010 0?0-00000 1112 100-000000 00000-0000 0---- 
Arachnoides 201000000 000-102100 0000-00000 120011 0210------ 0-0-00-100 1241010000 1 --113?2 130-00121? 20110 001010---- 1100000 00010-0000 1010000001 0010---0-1 -0 100222---- 00103-0000 000?011141 2000101100 0000-10221 -00000--01 20000 11000000-00 0000-0100 0 1110002002 1121010 010-00000 1112 100-000000 00000-0000 0---- 
Fossulaster 1001000000 000-002100 0000-00000 121??? 0210------ 0-0-00-100 124A110000 00000000a1 ???15?2 100-0--00- 20101 001010---- 0001?10000 00010-?000 10100000-1 000------- 0 111222---- 00000-0000 00??00004? 101100 0000-10221 -00000--00 20000 11000000-00 0?00-0100 0 11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Scutellinoides 1101000000 000-002100 0000-0?000 121??? 0210------ 0-0-00-100 1241010000 00000000a1 ???14?3 100-0--00- 20101 000010---- 0001110-00 00000-?000 0---0-000- -00------- 0 111222---- 00?00-0000 10??00004? 101100 0000-10221 -00000--00 00-0000 00000000-00 0?00-0100 0 0 11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Echinocyamus 1001000000 000-002100 0000-01001 11 0210------ 0-0-00-100 1241110000 1 14212 100-0--00- 20000 001010---- 1111000 00010-0000 1000000011 000------- 0 1000000000 11101000 2210011130 2000101100 0000-10221 -00000--00 20000 11000000-00 0200-1000 0 1110002002 1111010 010-00001 112 001-000000 00000-0000 0---- 
Fibularia 1001000000 000-002100 0000-01100 0000?? 0210------ 0-0-00-100 1240010001 1 114212 100-0--00- 10000 001010---- 1111100 00010-0000 1000000011 000------- 0 1000000000 11101000 2210011130 2000101100 0000-10221 -00000--00 20000 00000000-00 0200-1000 0 0 11?0002002 1111010 010-00001 112 001-000000 00000-0000 0---- 
Laganum 1101000000 000-002101 0000-01000 1A0011 0210------ 0-0-00-100 1250010001 1 1014212 100-0--00- 20000 001010---- 1111000 00010-0000 1110010011 0110---0-- 0 1000000000 11301000 2110000031 2000101100 0000-10221 -00000--00 20000 11000000-00 0200-1000 111000200? ?122010 010-00001 112 001-000000 00000-0000 0----
Neolaganum 1101000000 000-002101 0000-0110? ???011 0210------ 0-0-00-100 1240010001 00000000a1 ???42?2 130-001FC? 20110 001010---- 1111000 00010-?000 1110010001 0110---0-- 0 1000000000 11300001 2110000031 2000101100 0000-10221 -00000--00 20000 11000000-00 0?00-1000 0 11???????? ????0?? ????????? ???000?112 001-000000 00000-0000 0---- 
Rotula 1201000000 110-112100 0000-00000 220011 0210------ 0-0-00-100 1241010000 1 00142?1 100-0--00- 10100 001110---- 1111000 00010-1000 1010100010 011120-000 -0 111110---0 00100?0000 220100002? 0000-01100 0000-10221 -00000--00 20000 11000000-00 0100-1000 1110002002 11??010 010-00001 1112 001-000000 00000-0000 0----
Scutellina 101000000 000-002100 0000-01111 0000?? 0210------ 0-0-00-100 1241010000 00000000a1 ???2512 100-0--00- 20000 001010---- 1020000 00010-?000 1010000010 000------- 0 1000000000 320000 2001011031 2000101100 0000-10221 -00000--00 20000 11000000-00 0?00-1000 0 11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Abertella 1201000000 000-102100 0000-00000 230111 0210------ 0-0-00-100 12410-1000 00000000a1 ???43?1 100-0--00- 20110 101?10---- 0001?1?000 000?0-?000 1100010001 111122000 0 100111---- 00113-0000 2001011141 101100 0000-10221 -00000--00 20000 ??000000-00 0?00-1000 0 11?000?002 11??01? ????????? ???000?1?? ????000000 00000-0000 0---- 
